sent,received,answered,node degree
250,200,50,4
300,250,50,5
250,200,50,4
250,200,50,4
150,100,50,2
200,600,450,3
250,200,50,4
250,200,50,4
250,200,50,4
250,200,50,4
300,700,450,5
250,200,50,4
250,200,50,4
150,100,50,2
200,150,50,3
250,200,50,4
250,200,50,4
250,200,50,4
250,200,50,4
300,250,50,5
250,200,50,4
250,200,50,4
150,100,50,2
200,150,50,3
250,650,450,4
250,200,50,4
250,200,50,4
250,650,450,4
300,250,50,5
250,200,50,4
250,200,50,4
150,100,50,2
200,150,50,3
250,200,50,4
250,200,50,4
250,200,50,4
250,200,50,4
300,250,50,5
250,200,50,4
250,200,50,4
150,100,50,2
200,150,50,3
250,200,50,4
250,650,450,4
250,200,50,4
